id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,actors,directors,score
tm411358,the american meme,MOVIE,"Paris Hilton, the Fat Jew, and Brittany Furlan have all used social media to achieve massive internet fame. But, American Meme explores, is it worth it?",2018,not rate,95,Documentation,Us,0.0,6.8,17034.0,6.288,5.9,"['Paris Hilton', 'Brittany Furlan', 'Hailey Baldwin', 'Dane Cook', 'DJ Khaled', 'Matthew Felker', 'Josh Ostrovsky', 'Emily Ratajkowski']",['Bert Marcus'],6.582197482150674
tm68272,project x,MOVIE,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",2012,R,88,Comedy,Us,0.0,6.6,204959.0,168.423,6.8,"['Thomas Mann', 'Oliver Cooper', 'Jonathan Daniel Brown', 'Dax Flame', 'Kirby Bliss Blanton', 'Miles Teller', 'Brady Hender', 'Nick Nervies', 'Alexis Knapp', 'Peter MacKenzie', 'Caitlin Dulany', 'Rob Evors', 'Rick Shapiro', 'Brendan Miller', 'Nichole Sakura', 'Martin Klebba', 'Sam Lant', 'Robb Reesman', 'Kevin Dunigan', 'Colleen Flynn', 'Zach Lasry', 'Pete Gardner', 'Jodi Harris', 'Kevin Ryder', 'Jillian Barberie', 'Jimmy Kimmel', 'Sophia Santi', 'Chet Hanks', 'Ciara Hanna']",['Nima Nourizadeh'],6.581908316188891
tm185797,fukrey,MOVIE,"The paths of four dream-chasing college friends cross with an array of colourful characters, from a tough-talking Punjabi female don to a Jugaad Baaz college watchman. Mayhem ensues.",2013,PG-13,137,"Romance, Comedy, Drama",In,0.0,6.9,11656.0,2.509,6.8,"['Richa Chadha', 'Priya Anand', 'Ali Fazal', 'Pulkit Samrat', 'Manjot Singh', 'Vishakha Singh', 'Varun Sharma', 'Pankaj Tripathi', 'Mehak Manwani']",['Mrigdeep Singh Lamba'],6.581888010285111
tm33113,eagle eye,MOVIE,"Jerry Shaw and Rachel Holloman are two strangers whose lives are suddenly thrown into turmoil by a mysterious woman they have never met. Threatening their lives and family, the unseen caller uses everyday technology to control their actions and push them into increasing danger. As events escalate, Jerry and Rachel become the country's most-wanted fugitives and must figure out what is happening to them.",2008,PG-13,118,"Thriller, Action, European","Us, De",0.0,6.6,185430.0,14.168,6.4,"['Shia LaBeouf', 'Michelle Monaghan', 'Rosario Dawson', 'Michael Chiklis', 'Anthony Mackie', 'Ethan Embry', 'Billy Bob Thornton', 'Anthony Azizi', 'Cameron Boyce', 'Lynn Cohen', 'Bill Smitrovich', 'Charles Carroll', 'William Sadler', 'Deborah Strang', 'Dariush Kashani', 'Sean Kinney', 'Bob Morrisey', 'J. Patrick McCormack', 'Lorenzo Eduardo', 'Madylin Sweeten', 'Jorge-Luis Pallo', 'James Huang', 'Gerald Downey', 'Tony Flores', 'Donnie Jeffcoat', 'Craig J. Harris', 'Jimmie L. Akins', 'Eric Christian Olsen', 'Marc Singer', 'Michael Maize', 'Eiko Nijo', 'Peter Gail', 'Brad Grunberg', 'Cylk Cozart', 'Manny Perry', 'James C. Gohrick', 'Josh Todd', 'Colby French', 'Matt DeCaro', 'Judith Moreland', 'Rolando Molina', 'Michael Kostroff', 'Nigel Gibbs', 'Michael Daniel Cassady', 'David Grant Wright', 'Jarod Einsohn', 'David Heckel', 'Jamie Martz', 'Greg Collins', 'McKay Stewart', 'Terry Walters', 'Katija Pevec', 'Chase Penny', 'Madison Mason', 'Sebastian Tillinger', 'Kevin Quinn', 'Enver Gjokaj', 'Michael Potter', 'Webster Williams', 'Peggy Roeder', 'Gary Houston', 'Jonathan Chase', 'Dean Cudworth', 'Lindsay Corinn Luecht', 'Nicol Paone', 'Brittany Ishibashi', 'Stacey Scowley', 'Stephen Simon', 'David Arakelyan', 'Salah Salea', 'Susan Armon', 'Fahim Fazli', 'David Rowden', 'Brenda Goodbeard', 'Caroline A. Jenks', 'Leslie Stahl', 'Leyna Nguyen', 'Ralph Garman', 'Sharon Tay', 'Rick Chambers', 'Kent Schocknek', 'Brandon Caruso', 'G. Larry Butler', 'Jerry Ferrara', 'Julianne Moore', 'Ali Olomi', 'Nick Searcy', 'Eric Bays']",['D. J. Caruso'],6.580071285214997
tm911973,enola holmes,MOVIE,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",2020,PG-13,123,"Crime, Drama, Action",Us,0.0,6.6,160806.0,30.97,7.4,"['Millie Bobby Brown', 'Henry Cavill', 'Sam Claflin', 'Helena Bonham Carter', 'Louis Partridge', 'Adeel Akhtar', 'Fiona Shaw', 'Frances de la Tour', 'Burn Gorman', 'Susan Wokoma', 'Claire Rushbrook', 'David Bamber', 'Hattie Morahan', 'Gaby French', 'Paul Copley', 'Ellie Haddington', 'Alex Kelly', 'James Duke', 'Connor Catchpole', 'Sarah Flind', 'Dempsey Bovell', 'Neil Bell', 'Sofia Stavrinou', 'Sophie Dixon', 'David Kirkbride', 'Delroy Atkinson', 'Mary Roscoe', 'Anthony Aje', 'Anthony Rickman', 'Philip Scott-Wallace', 'Tuyen Do', 'Esther Coles', 'Owen Atlas', 'Pierre Bergman', 'Gianni Calchetti', 'Paul Parker', 'Heather Pearse', 'Jay Simpson']",['Harry Bradbeer'],6.577145149446822
tm346943,kodachrome,MOVIE,"Matt Ryder is convinced to drive his estranged and dying father Benjamin Ryder cross country to deliver four old rolls of Kodachrome film to the last lab in the world that can develop them before it shuts down for good. Along with Ben's nurse Zooey, the three navigate a world changing from analogue to digital while trying to put the past behind them.",2017,not rate,105,"Drama, Comedy, European",Us,0.0,6.8,16482.0,7.996,6.8,"['Ed Harris', 'Jason Sudeikis', 'Elizabeth Olsen', 'Bruce Greenwood', 'Wendy Crewson', 'Dennis Haysbert', 'Gethin Anthony', 'Bill Lake', 'Rob Stewart', 'Vladimir Jon Cubrt', 'Al Mukaddam', 'Sebastian Pigott', 'Sebastian MacLean', 'Paolo Mancini', 'Elena Juatco', 'Humberly Gonzalez', 'Isaak Bailey', 'Morgan Lever', 'Lisa Andry-Dargel', 'Bea Santos', 'Amanda Brugel', 'Michael A. Miranda', 'Scott Edgecombe', 'Marie Dame', 'Darrin Baker', 'Jerry Rector', 'Ryan Bonneville']",['Mark Raso'],6.577055181472623
tm164353,singham,MOVIE,"An honest, small town cop is transferred to a big city that is controlled by a crime boss that he had once humiliated.",2011,not rate,143,"Drama, Action, Crime",In,0.0,6.8,16473.0,7.268,6.7,"['Ajay Devgn', 'Kajal Agarwal', 'Prakash Raj', 'Ashok Saraf', 'Sachin Khedekar', 'Murali Sharma', 'Sudhanshu Pandey', 'Sonali Kulkarni', 'Govind Namdeo', 'Ankur Nayyar', 'Anant Jog', 'Kishore Nandlaskar', 'Vineet Sharma', 'Ashok Samarth']",['Rohit Shetty'],6.576969327064735
tm278681,puss in boots,MOVIE,"Long before he even met Shrek, the notorious fighter, lover and outlaw Puss in Boots becomes a hero when he sets off on an adventure with the tough and street smart Kitty Softpaws and the mastermind Humpty Dumpty to save his town. This is the true story of The Cat, The Myth, The Legend... The Boots.",2011,PG,79,"Comedy, Animation, Family, Fantasy, Action",Us,0.0,6.6,156144.0,41.19,6.4,"['Antonio Banderas', 'Salma Hayek', 'Zach Galifianakis', 'Billy Bob Thornton', 'Amy Sedaris', 'Constance Marie', 'Mike Mitchell', 'Guillermo del Toro', 'Conrad Vernon', 'Chris Miller', 'Rich Dietl', 'Ryan Crego', 'Tom Wheeler', 'Tom McGrath', 'Bob Joles', 'Latifa Ouaou', 'Bob Persichetti', 'Jessica Schulte', 'Nina Barry', 'Sergio Bruna', 'Rebecca Davis', 'Roberto Donati', 'Jossara Jinaro', 'Lara Jill Miller', 'Joshua Rush', 'Julie Wittner']",['Chris Miller'],6.576491641066902
tm849003,the old guard,MOVIE,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,2020,R,125,"Fantasy, Action, Thriller",Us,0.0,6.6,155135.0,22.536,7.2,"['Charlize Theron', 'KiKi Layne', 'Matthias Schoenaerts', 'Marwan Kenzari', 'Luca Marinelli', 'Chiwetel Ejiofor', 'Harry Melling', 'Veronica Ngo', 'Natacha Karam', 'Anamaria Marinca', 'Joey Ansah', 'Adam Collins', 'Russell Balogh', 'Obie Matthew', 'Mette Towley', 'Micheal Ward', 'Shala Nyx', 'Majid Essaidi', 'Andrei Zayats', 'Olivia Ross', 'Peter Basham', 'Nadia Niazi', 'Mehdi Lamrini', 'Aanya Hirdaramani', 'Jordan Holland', 'Orlando Seale', 'Simon Chandler', 'Jane Fowler', 'Yassine Zeroual', 'Adam Basil', 'Peter Brooke', 'Jill Buchanan', 'Adam Collins', 'Jill De Quincey', 'Talal El Moustaghfir', 'Tuncay Gunes', 'Steve Healey', 'Rich Lawton', 'Jorge Leon Martinez', 'Martyn Mayger', 'Chereena Miller', 'Seema Morar', 'Oliver Simms', 'Alfredo Tavares', 'Rutvig Vaid', 'Toby Hefferman']",['Gina Prince-Bythewood'],6.576345251540302
tm311995,the battleship island,MOVIE,"During the Japanese colonial era, roughly 400 Korean people, who were forced onto Battleship Island (‘Hashima Island’) to mine for coal, attempt to escape.",2017,PG-13,132,"Action, Drama, History",Kr,0.0,7.1,7005.0,24.994,7.2,"['Hwang Jung-min', 'So Ji-sub', 'Song Joong-ki', 'Lee Jung-hyun', 'Kim Su-an', 'Lee Kyung-young', 'Kim In-woo', 'Kim Jung-hui', 'Kim Min-jae', 'Shin Seung-hwan', 'Kim Yae-eun', 'Jo Kyung-Hyun', 'Kim Gyu-baek', 'Yoon Dae-yeul', 'Lee Jung-eun', 'Kwon Han-sol', 'Park Sung-il', 'Uhm Ji-sung', 'Shin Hyun-tak', 'Yoon Kyung-ho', 'Kim Bo-yoon', 'Ham Seong-min']",['Ryoo Seung-wan'],6.576238951509023
